Record ID,College Name,District,College Code,Branch Name,Branch Code,OC,BC,BCM,MBC,SC,SCA,ST
TNEA2025-00001,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,AGRICULTURAL ENGINEERING,AG,109.0,106.5,,100.5,,,
TNEA2025-00002,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,Artificial Intelligence and Data Science,AD,142.5,87.0,141.5,112.5,122.0,,
TNEA2025-00003,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,COMPUTER SCIENCE AND ENGINEERING,CS,127.0,82.0,116.0,111.0,123.5,,
TNEA2025-00004,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,ELECTRICAL AND ELECTRONICS ENGINEERING,EE,130.5,88.0,116.5,112.0,99.5,,
TNEA2025-00005,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,ELECTRONICS AND COMMUNICATION ENGINEERING,EC,119.0,95.0,102.5,103.0,,,
TNEA2025-00006,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,INFORMATION TECHNOLOGY,IT,122.0,90.0,116.5,104.5,,,
TNEA2025-00007,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",,2347,MECHANICAL ENGINEERING,ME,114.5,84.0,,103.0,81.5,,
TNEA2025-00008,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,1441,Artificial Intelligence and Data Science,AD,128.5,104.5,124.5,88.5,116.0,,
TNEA2025-00009,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,1441,CIVIL  ENGINEERING,CE,88.5,,,,,,
TNEA2025-00010,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,1441,COMPUTER SCIENCE AND ENGINEERING,CS,120.0,85.0,107.0,99.5,96.5,,
TNEA2025-00011,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,1441,ELECTRICAL AND ELECTRONICS ENGINEERING,EE,89.5,80.5,,83.5,,,
